Time,Demand
0,1470.81472
3600,1440.83294
7200,1430.49504
10800,1423.80635
14400,1428.18082
18000,1447.37705
21600,1475.98748
25200,1499.9117
28800,1523.47395
32400,1545.13794
36000,1552.41543
39600,1553.37081
43200,1538.97508
46800,1514.06066
50400,1489.65029
54000,1474.23233
57600,1480.75678
61200,1514.59045
64800,1549.78321
68400,1528.61106
72000,1497.14421
75600,1459.27999
79200,1407.45189
82800,1359.09812
86400,1321.67604
90000,1305.00437
93600,1294.49102
97200,1289.85069
100800,1302.55812
104400,1340.30715
108000,1394.43819
111600,1440.45054
115200,1466.13047
118800,1496.68558
122400,1514.02084
126000,1509.52631
129600,1491.57122
133200,1472.92649
136800,1459.54952
140400,1448.90098
144000,1449.29308
147600,1471.52379
151200,1493.2074
154800,1473.85592
158400,1432.30743
162000,1381.23428
165600,1312.00056
169200,1254.75437
172800,1210.75029
176400,1186.01921
180000,1180.20171
183600,1181.30886
187200,1188.47453
190800,1215.14778
194400,1249.39354
198000,1294.19781
201600,1312.06252
205200,1281.47372
208800,1190.05789
212400,1085.43836
216000,1023.19559
219600,1043.98667
223200,1013.20134
226800,997.471929
230400,1010.90784
234000,1051.5921
237600,1138.22553
241200,1173.93914
244800,1181.68456
248400,1181.61221
252000,1167.75689
255600,1132.34759
259200,1085.63278
262800,1082.8307
266400,1093.20763
270000,1104.5364
273600,1128.56465
277200,1170.76482
280800,1225.06372
284400,1281.92995
288000,1310.83299
291600,1288.14299
295200,1239.53124
298800,1188.58043
302400,1151.09011
306000,1119.71698
309600,1100.68467
313200,1095.01875
316800,1104.71215
320400,1179.61882
324000,1287.76469
327600,1357.01045
331200,1365.21465
334800,1349.73627
338400,1311.61178
342000,1275.98277
345600,1259.25922
349200,1268.92251
352800,1286.51589
356400,1311.84755
360000,1357.8733
363600,1446.85535
367200,1583.30606
370800,1636.25849
374400,1578.74082
378000,1497.31188
381600,1413.21823
385200,1325.73029
388800,1246.51047
392400,1182.91317
396000,1131.16477
399600,1101.47029
403200,1103.71985
406800,1154.02154
410400,1269.05638
414000,1304.70581
417600,1309.91761
421200,1283.42315
424800,1226.89669
428400,1168.15189
432000,1145.83449
435600,1143.24613
439200,1151.2308
442800,1163.81793
446400,1195.71663
450000,1271.42283
453600,1397.89829
457200,1445.60301
460800,1393.18709
464400,1315.13043
468000,1231.8574
471600,1157.52923
475200,1096.88983
478800,1055.02567
482400,1021.8645
486000,1003.94876
489600,1013.95989
493200,1049.39765
496800,1153.75119
500400,1178.21399
504000,1194.00329
507600,1175.15226
511200,1131.21076
514800,1093.36224
518400,1082.0798
522000,1086.22924
525600,1100.60328
529200,1121.65729
532800,1161.5523
536400,1241.92515
540000,1379.91827
543600,1441.7565
547200,1411.95788
550800,1388.95779
554400,1367.52816
558000,1346.65903
561600,1334.20222
565200,1335.46422
568800,1335.35923
572400,1345.19436
576000,1400.03649
579600,1484.02922
583200,1601.76884
586800,1632.81617
590400,1638.53354
594000,1607.05653
597600,1546.56172
601200,1500.08515
604800,1481.65187
608400,1481.41873
612000,1497.81589
615600,1518.71433
619200,1564.13162
622800,1639.93607
626400,1738.89886
630000,1763.26278
633600,1718.92924
637200,1682.10433
640800,1630.77566
644400,1577.77082
648000,1513.22769
651600,1451.06883
655200,1405.29966
658800,1384.64569
662400,1398.02973
666000,1445.83248
669600,1523.32775
673200,1537.18987
676800,1524.0786
680400,1470.2245
684000,1390.00728
687600,1318.99443
691200,1277.03182
694800,1260.997
698400,1266.8121
702000,1260.23112
705600,1274.92089
709200,1338.7477
712800,1461.03898
716400,1520.33496
720000,1516.85476
723600,1531.46648
727200,1539.80868
730800,1534.52602
734400,1520.81044
738000,1512.46693
741600,1509.26652
745200,1516.36292
748800,1534.94562
752400,1561.69955
756000,1597.36507
759600,1578.18391
763200,1554.22853
766800,1502.18067
770400,1463.21636
774000,1426.37068
777600,1393.82301
781200,1374.94591
784800,1366.21795
788400,1368.68267
792000,1383.01049
795600,1412.04103
799200,1436.23536
802800,1481.09031
806400,1513.53227
810000,1550.40005
813600,1564.42088
817200,1556.65799
820800,1532.69281
824400,1512.31639
828000,1482.24785
831600,1462.90427
835200,1457.17585
838800,1477.99211
842400,1518.37728
846000,1515.43745
849600,1495.71347
853200,1463.37726
856800,1408.62046
860400,1354.1461
864000,1316.26875
867600,1289.6307
871200,1274.48431
874800,1268.59641
878400,1273.9326
882000,1296.10737
885600,1333.20888
889200,1384.90758
892800,1415.21639
896400,1413.41506
900000,1362.98808
903600,1293.50977
907200,1221.39854
910800,1155.78556
914400,1101.19435
918000,1067.68199
921600,1054.17676
925200,1079.81095
928800,1177.87393
932400,1216.71191
936000,1219.35008
939600,1197.71709
943200,1151.32251
946800,1098.17519
950400,1072.91233
954000,1071.53519
957600,1080.56711
961200,1103.18237
964800,1144.22095
968400,1225.02881
972000,1364.87387
975600,1433.69486
979200,1410.8629
982800,1394.17019
986400,1387.47457
990000,1383.58618
993600,1369.06424
997200,1361.50476
1000800,1353.96167
1004400,1374.75231
1008000,1419.24599
1011600,1469.80216
1015200,1531.37443
1018800,1541.23295
1022400,1523.8809
1026000,1481.52708
1029600,1414.24481
1033200,1354.23968
1036800,1324.51932
1040400,1319.91457
1044000,1322.47769
1047600,1332.87855
1051200,1358.26587
1054800,1429.16424
1058400,1557.56848
1062000,1612.69541
1065600,1576.04764
1069200,1566.07178
1072800,1560.93675
1076400,1528.22233
1080000,1486.32153
1083600,1455.42974
1087200,1424.93243
1090800,1416.59606
1094400,1421.30466
1098000,1447.34555
1101600,1518.47856
1105200,1537.36449
1108800,1521.11269
1112400,1467.37235
1116000,1385.24385
1119600,1319.58324
1123200,1292.53855
1126800,1287.05099
1130400,1286.94126
1134000,1296.14312
1137600,1323.39258
1141200,1392.86532
1144800,1520.19288
1148400,1571.94818
1152000,1546.67617
1155600,1537.2411
1159200,1522.12947
1162800,1510.35368
1166400,1481.5657
1170000,1460.75351
1173600,1446.48023
1177200,1446.51555
1180800,1472.17007
1184400,1503.1278
1188000,1552.32373
1191600,1548.11507
1195200,1525.48623
1198800,1471.2648
1202400,1386.09075
1206000,1310.54942
1209600,1254.01191
1213200,1233.73392
1216800,1233.40455
1220400,1241.31035
1224000,1267.28541
1227600,1336.70358
1231200,1451.78532
1234800,1496.32437
1238400,1446.24533
1242000,1377.40654
1245600,1304.81
1249200,1237.87688
1252800,1178.99913
1256400,1137.74844
1260000,1099.55655
1263600,1076.11571
1267200,1072.55154
1270800,1109.12233
1274400,1239.8148
1278000,1292.68344
1281600,1318.47954
1285200,1305.40667
1288800,1255.67373
1292400,1211.80713
1296000,1198.85446
1299600,1208.99341
1303200,1223.77752
1306800,1243.55416
1310400,1284.87173
1314000,1379.61638
1317600,1518.32897
1321200,1568.21709
1324800,1494.29606
1328400,1400.48928
1332000,1302.67696
1335600,1205.58393
1339200,1126.54706
1342800,1079.45087
1346400,1045.08349
1350000,1019.89755
1353600,1015.34242
1357200,1029.7761
1360800,1106.1285
1364400,1132.08591
1368000,1140.83499
1371600,1142.52548
1375200,1119.25534
1378800,1088.648
1382400,1066.27392
1386000,1060.99371
1389600,1071.50963
1393200,1085.84883
1396800,1109.15516
1400400,1151.67303
1404000,1210.14102
1407600,1273.04605
1411200,1289.22028
1414800,1240.93026
1418400,1180.3158
1422000,1114.2115
1425600,1048.8266
1429200,1004.69991
1432800,974.081357
1436400,960.204724
1440000,958.73577
1443600,976.632808
1447200,1043.46095
1450800,1057.53801
1454400,1054.44637
1458000,1049.61232
1461600,1037.77953
1465200,1023.96902
1468800,1032.086
1472400,1042.04966
1476000,1057.39839
1479600,1064.52966
1483200,1081.26169
1486800,1127.57097
1490400,1186.83968
1494000,1259.50339
1497600,1281.13068
1501200,1213.69685
1504800,1122.39102
1508400,1050.82585
1512000,1005.96707
1515600,972.054593
1519200,950.395078
1522800,932.977066
1526400,922.941989
1530000,942.70955
1533600,1030.36856
1537200,1064.30642
1540800,1066.53669
1544400,1050.2668
1548000,1015.47392
1551600,982.9337
1555200,970.699825
1558800,973.400017
1562400,977.586107
1566000,995.055443
1569600,1030.72415
1573200,1104.25076
1576800,1214.91999
1580400,1278.57704
1584000,1244.41734
1587600,1187.88857
1591200,1135.06851
1594800,1077.85002
1598400,1023.06969
1602000,1002.69385
1605600,994.128567
1609200,993.211355
1612800,989.864646
1616400,999.764402
1620000,1060.95225
1623600,1085.5034
1627200,1089.86317
1630800,1054.31569
1634400,1003.3326
1638000,955.41903
1641600,942.37411
1645200,946.201324
1648800,954.586523
1652400,971.802426
1656000,1017.34121
1659600,1103.66298
1663200,1248.59353
1666800,1309.8268
1670400,1249.41616
1674000,1175.4515
1677600,1145.92543
1681200,1101.02419
1684800,1065.75431
1688400,1036.74058
1692000,988.090242
1695600,980.005054
1699200,985.618154
1702800,992.348826
1706400,1054.15791
1710000,1076.19142
1713600,1089.26
1717200,1084.87086
1720800,1033.12778
1724400,989.16962
1728000,925.398891
1731600,913.322476
1735200,920.019752
1738800,939.53512
1742400,976.177535
1746000,1051.6208
1749600,1182.10065
1753200,1247.94497
1756800,1216.65938
1760400,1197.70461
1764000,1186.02213
1767600,1177.51211
1771200,1167.02978
1774800,1165.709
1778400,1160.16392
1782000,1174.75185
1785600,1211.78408
1789200,1252.4155
1792800,1292.88237
1796400,1280.55426
1800000,1255.68236
1803600,1204.14828
1807200,1133.99396
1810800,1069.65359
1814400,1030.69242
1818000,1020.98101
1821600,1033.58245
1825200,1052.41842
1828800,1074.20544
1832400,1146.48227
1836000,1293.26002
1839600,1366.57831
1843200,1358.4198
1846800,1374.68169
1850400,1388.58842
1854000,1392.78845
1857600,1387.22107
1861200,1384.42481
1864800,1379.58148
1868400,1386.76671
1872000,1415.61201
1875600,1446.52399
1879200,1487.9473
1882800,1480.46787
1886400,1454.58918
1890000,1401.07795
1893600,1324.14216
1897200,1259.97868
1900800,1225.92249
1904400,1212.61307
1908000,1208.49054
1911600,1215.09833
1915200,1239.84687
1918800,1305.21979
1922400,1416.13809
1926000,1482.84977
1929600,1487.2184
1933200,1478.52191
1936800,1431.21406
1940400,1354.41905
1944000,1299.9502
1947600,1276.73767
1951200,1254.43282
1954800,1233.40517
1958400,1236.38552
1962000,1247.12413
1965600,1316.67858
1969200,1343.10755
1972800,1347.22288
1976400,1336.86482
1980000,1310.06358
1983600,1276.35973
1987200,1264.6223
1990800,1264.98944
1994400,1275.89079
1998000,1294.43229
2001600,1316.21037
2005200,1352.41522
2008800,1404.45045
2012400,1458.43001
2016000,1459.45753
2019600,1406.94386
2023200,1329.97804
2026800,1247.28815
2030400,1166.76075
2034000,1099.10375
