Time,Demand
0,943.943487
3600,930.286207
7200,922.040412
10800,925.811668
14400,937.992915
18000,976.033504
21600,1013.09703
25200,1045.64243
28800,1082.0872
32400,1101.84393
36000,1096.17998
39600,1060.9631
43200,1011.49197
46800,953.149968
50400,917.550209
54000,908.145701
57600,921.391883
61200,959.894485
64800,1045.97799
68400,1082.46963
72000,1092.68324
75600,1108.79993
79200,1106.14106
82800,1086.66029
86400,1054.79229
90000,1054.74594
93600,1069.04369
97200,1086.17717
100800,1115.58278
104400,1153.33224
108000,1196.67514
111600,1250.92647
115200,1266.50389
118800,1209.33051
122400,1138.34324
126000,1060.38866
129600,998.822408
133200,957.061731
136800,916.764896
140400,901.970571
144000,895.809828
147600,955.736427
151200,1043.68789
154800,1063.85088
158400,1060.56702
162000,1051.84642
165600,1022.45302
169200,974.9854
172800,933.902027
176400,926.167852
180000,933.477572
183600,945.905377
187200,969.271345
190800,1029.90109
194400,1106.16171
198000,1156.68797
201600,1134.41788
205200,1094.81987
208800,1074.2922
212400,1027.28575
216000,983.900485
219600,945.635649
223200,918.207663
226800,910.580752
230400,927.551233
234000,963.404266
237600,1034.43555
241200,1036.98615
244800,1022.97484
248400,996.490811
252000,934.718711
255600,878.47081
259200,842.371806
262800,831.387076
266400,831.740516
270000,844.114022
273600,868.267411
277200,936.629999
280800,1029.44098
284400,1086.3548
288000,1057.32988
291600,1038.44999
295200,1028.25784
298800,1004.08422
302400,986.490283
306000,950.083224
309600,930.569321
313200,923.51423
316800,927.094218
320400,963.931075
324000,1047.96144
327600,1042.15146
331200,1019.99171
334800,994.557574
338400,951.876384
342000,896.53889
345600,855.947707
349200,844.790918
352800,843.879794
356400,858.55622
360000,878.211821
363600,941.218899
367200,1040.16057
370800,1095.85166
374400,1055.74725
378000,1023.67665
381600,1004.19234
385200,970.198012
388800,920.141231
392400,880.087145
396000,863.546353
399600,858.866847
403200,867.004841
406800,905.745188
410400,1005.75035
414000,1025.89213
417600,1047.01762
421200,1037.05607
424800,996.613787
428400,946.51977
432000,920.91555
435600,926.504053
439200,939.055979
442800,969.983035
446400,1002.76764
450000,1084.88343
453600,1219.81636
457200,1264.42621
460800,1208.96265
464400,1134.26446
468000,1069.02261
471600,1016.58329
475200,963.462073
478800,928.284069
482400,897.840134
486000,894.011714
489600,903.738777
493200,933.728111
496800,1017.60275
500400,1037.72726
504000,1041.0988
507600,1029.10685
511200,995.159027
514800,947.38106
518400,899.707663
522000,904.430256
525600,916.21211
529200,930.550625
532800,962.234077
536400,1028.09965
540000,1142.956
543600,1198.51346
547200,1152.36586
550800,1087.46351
554400,1032.50445
558000,981.432966
561600,930.857967
565200,896.49228
568800,870.48968
572400,869.679097
576000,879.962018
579600,888.837458
583200,958.110217
586800,959.662567
590400,956.86801
594000,950.899218
597600,933.044313
601200,905.26192
604800,876.856205
608400,874.010131
612000,888.892025
615600,905.956127
619200,936.282603
622800,989.803473
626400,1053.26263
630000,1107.21005
633600,1130.45408
637200,1094.27186
640800,1052.69669
644400,993.712238
648000,943.440407
651600,904.157816
655200,878.732419
658800,866.479332
662400,867.709502
666000,913.853452
669600,967.559309
673200,972.131415
676800,959.759351
680400,936.255011
684000,916.47685
687600,882.64075
691200,869.235593
694800,859.141497
698400,853.818028
702000,857.993561
705600,869.08247
709200,891.177188
712800,927.876502
716400,959.955225
720000,992.884335
723600,1005.08282
727200,993.975838
730800,970.574532
734400,956.061916
738000,941.991076
741600,908.649226
745200,896.195135
748800,892.452495
752400,928.64554
756000,1007.09993
759600,1021.23514
763200,1005.78589
766800,986.127447
770400,962.657371
774000,913.1558
777600,896.05465
781200,890.608588
784800,891.974197
788400,908.996102
792000,927.15966
795600,1000.17738
799200,1087.60399
802800,1130.34513
806400,1128.0245
810000,1104.79022
813600,1101.00391
817200,1080.35665
820800,1073.48848
824400,1062.1178
828000,1041.22955
831600,1044.80997
835200,1072.63912
838800,1116.56432
842400,1205.15483
846000,1228.68728
849600,1238.90542
853200,1234.62927
856800,1166.24057
860400,1103.81989
864000,1105.86646
867600,1107.43215
871200,1126.95241
874800,1147.86193
878400,1192.45569
882000,1273.94356
885600,1402.2045
889200,1454.7371
892800,1413.59171
896400,1381.01126
900000,1366.75567
903600,1322.74834
907200,1253.57337
910800,1168.81627
914400,1122.46769
918000,1110.48859
921600,1123.35642
925200,1177.45279
928800,1282.78643
932400,1323.37654
936000,1344.99308
939600,1333.59329
943200,1291.32821
946800,1238.36699
950400,1180.93512
954000,1183.44119
957600,1188.75344
961200,1198.44065
964800,1221.08155
968400,1287.7722
972000,1386.43251
975600,1439.15971
979200,1402.02938
982800,1386.56152
986400,1379.10726
990000,1337.71433
993600,1296.09069
997200,1243.56371
1000800,1219.10022
1004400,1219.52855
1008000,1241.7014
1011600,1296.85345
1015200,1377.69969
1018800,1380.97465
1022400,1355.78309
1026000,1312.99358
1029600,1262.49145
1033200,1197.30799
1036800,1116.21683
1040400,1113.13428
1044000,1114.41746
1047600,1119.84316
1051200,1142.00191
1054800,1206.61895
1058400,1310.63322
1062000,1358.08685
1065600,1322.49278
1069200,1302.22249
1072800,1312.94204
1076400,1255.08475
1080000,1210.0352
1083600,1157.26481
1087200,1118.17806
1090800,1110.56027
1094400,1110.14496
1098000,1142.34424
1101600,1228.68683
1105200,1241.01903
1108800,1239.71835
1112400,1205.90943
1116000,1166.66082
1119600,1098.18627
1123200,1051.76003
1126800,1040.93789
