Time,Demand
0,883.0295
3600,872.532258
7200,868.951334
10800,865.799032
14400,879.988054
18000,911.221606
21600,950.808757
25200,989.594398
28800,1021.13186
32400,1048.01111
36000,1048.63079
39600,1040.21848
43200,1023.26821
46800,996.913376
50400,974.966873
54000,964.987902
57600,987.937745
61200,1051.86536
64800,1128.75947
68400,1141.4328
72000,1143.29296
75600,1126.63102
79200,1092.94763
82800,1056.7721
86400,1032.11329
90000,1032.71679
93600,1041.8959
97200,1062.85338
100800,1097.37831
104400,1171.76726
108000,1256.54163
111600,1326.23182
115200,1352.39894
118800,1341.97885
122400,1312.34726
126000,1261.73582
129600,1210.08249
133200,1156.23842
136800,1111.12419
140400,1091.58018
144000,1100.5447
147600,1145.91744
151200,1228.00852
154800,1249.56378
158400,1255.82632
162000,1245.92164
165600,1217.40358
169200,1179.52795
172800,1161.61625
176400,1157.91411
180000,1150.10348
183600,1155.31839
187200,1181.29103
190800,1231.79588
194400,1308.96128
198000,1359.49705
201600,1355.10489
205200,1338.18839
208800,1309.61956
212400,1278.40614
216000,1246.96472
219600,1221.5617
223200,1203.68446
226800,1206.85082
230400,1210.52488
234000,1240.43376
237600,1297.46954
241200,1286.17847
244800,1263.27004
248400,1232.33941
252000,1172.71221
255600,1113.37328
259200,1080.91016
262800,1062.23629
266400,1079.8015
270000,1104.3938
273600,1138.48265
277200,1195.56001
280800,1273.1114
284400,1326.40841
288000,1345.39347
291600,1336.66762
295200,1311.73879
298800,1290.3008
302400,1269.79237
306000,1257.07397
309600,1242.08857
313200,1242.87873
316800,1249.51203
320400,1274.12578
324000,1312.67425
327600,1294.22463
331200,1269.25977
334800,1236.5512
338400,1189.15364
342000,1136.8059
345600,1100.0001
349200,1076.25361
352800,1067.66239
356400,1066.55964
360000,1078.90964
363600,1104.58134
367200,1144.91412
370800,1193.38393
374400,1218.67874
378000,1218.63077
381600,1188.10721
385200,1136.02488
388800,1069.23453
392400,1009.99644
396000,967.912247
399600,941.498978
403200,931.813481
406800,963.540976
410400,1057.50186
414000,1091.60237
417600,1104.15678
421200,1108.50158
424800,1091.96704
428400,1072.61776
432000,1064.70305
435600,1067.01562
439200,1079.09785
442800,1098.58035
446400,1125.07933
450000,1165.83502
453600,1215.61303
457200,1275.49576
460800,1283.60592
464400,1221.46712
468000,1149.97309
471600,1085.43132
475200,1037.61087
478800,990.577805
482400,952.240562
486000,931.152343
489600,943.267695
493200,986.961056
496800,1075.64999
500400,1121.79214
504000,1128.78412
507600,1120.0709
511200,1093.71865
514800,1061.21543
518400,1048.80648
522000,1058.16143
525600,1074.44316
529200,1096.97178
532800,1133.23941
536400,1214.40273
540000,1343.39927
543600,1383.7041
547200,1356.83917
550800,1307.91307
554400,1256.06187
558000,1201.12741
561600,1152.08914
565200,1111.71455
568800,1075.60555
572400,1059.19283
576000,1069.10063
579600,1113.54328
583200,1199.99047
586800,1210.64068
590400,1200.30026
594000,1170.26463
597600,1106.63183
601200,1048.64421
604800,1008.90704
608400,992.92196
612000,987.123608
615600,988.518696
619200,1005.32013
622800,1061.17038
626400,1162.52928
630000,1205.59067
633600,1184.02529
637200,1181.98074
640800,1181.39107
644400,1163.12591
648000,1146.83605
651600,1122.83739
655200,1095.50189
658800,1091.52102
662400,1090.95179
666000,1088.20124
669600,1153.21693
673200,1146.28184
676800,1128.53186
680400,1085.74208
684000,1025.1429
687600,961.82934
691200,919.737734
694800,898.452035
698400,893.76719
702000,894.516449
705600,908.458181
709200,960.894486
712800,1066.61901
716400,1114.57488
720000,1105.16408
723600,1107.9463
727200,1117.64713
730800,1125.16584
734400,1125.27145
738000,1120.34731
741600,1115.45168
745200,1103.34826
748800,1115.38061
752400,1136.50457
756000,1173.33356
759600,1161.98696
763200,1141.13959
766800,1099.4377
770400,1037.97854
774000,984.42623
777600,949.71532
781200,929.894159
784800,926.538572
788400,925.240996
792000,940.186921
795600,1007.16081
799200,1122.23157
802800,1168.90968
806400,1141.4736
810000,1113.88382
813600,1093.45796
817200,1060.46046
820800,1020.10273
824400,982.963622
828000,952.883381
831600,938.067867
835200,941.302069
838800,958.58304
842400,1044.76982
846000,1064.42713
849600,1069.33887
853200,1051.18127
856800,1003.85511
860400,956.63088
864000,929.025676
867600,920.049705
871200,922.13783
874800,930.565523
878400,947.868532
882000,1003.47248
885600,1096.62583
889200,1132.29607
892800,1102.83324
896400,1073.33769
900000,1039.40299
903600,999.460399
907200,965.852529
910800,939.719374
914400,919.022323
918000,909.031213
921600,911.517645
925200,926.300113
928800,977.010677
932400,973.439034
936000,957.886907
939600,932.184607
943200,897.835265
946800,852.24155
950400,809.2355
954000,783.000796
957600,771.959951
961200,768.403238
964800,773.954093
968400,795.856711
972000,832.560228
975600,882.246381
979200,926.721399
982800,967.541877
986400,986.275882
990000,979.244114
993600,967.524218
997200,954.310433
1000800,943.51147
1004400,934.421102
1008000,937.263626
1011600,966.144207
1015200,1040.28335
1018800,1062.21976
1022400,1074.01034
1026000,1071.05626
1029600,1048.95171
1033200,1020.48884
1036800,1021.28765
1040400,1020.18769
1044000,1030.75071
1047600,1046.96391
1051200,1072.11793
1054800,1119.51546
1058400,1180.7236
1062000,1251.79059
1065600,1288.14802
1069200,1272.21619
1072800,1224.78953
1076400,1174.70739
1080000,1131.36536
1083600,1090.17069
1087200,1050.17471
1090800,1027.22711
1094400,1029.68912
1098000,1083.67524
1101600,1195.33808
1105200,1242.51563
1108800,1254.08526
1112400,1244.3803
1116000,1206.85837
1119600,1167.70207
1123200,1143.87213
1126800,1144.64254
1130400,1160.78107
1134000,1182.42476
1137600,1221.36533
1141200,1303.48282
1144800,1436.85482
1148400,1486.08651
1152000,1456.94723
1155600,1409.21868
1159200,1348.5575
1162800,1277.01558
1166400,1209.13276
1170000,1154.21258
1173600,1115.08555
1177200,1099.5348
1180800,1117.86378
1184400,1166.14526
1188000,1275.61884
1191600,1313.16483
1195200,1316.03717
1198800,1296.21169
