#1	
double BOP(168,2) #Comments here	
115	0.144150061
116	0.126940776
117	0.090392601
118	0.061901446
119	0.058163884
120	0.059900563
121	0.073318486
122	0.056723666
123	0.025839011
124	0.041815485
125	0.016682938
126	0.05330644
127	0.072582985
128	0.059062353
129	0.072234921
130	0.102092565
131	0.127251938
132	0.12913725
133	0.143571081
134	0.152892806
135	0.148282375
136	0.157758363
137	0.161975681
138	0.165162195
139	0.156378773
140	0.155226995
141	0.152211841
142	0.138267655
143	0.124897354
144	0.106378097
145	0.113104149
146	0.133373723
147	0.132864925
148	0.129127024
149	0.11231164
150	0.094695058
151	0.074598752
152	0.059255411
153	0.065109444
154	0.02138322
155	0.033623675
156	0.013586947
157	0.038628174
158	0.071344174
159	0.028729278
160	0.085915184
161	0.112845193
162	0.104948691
163	0.092108593
164	0.092313549
165	0.079540422
166	0.084352502
167	0.062274919
double SES(168,2) #Comments here	0
0	0.03198142
1	0.453038496
2	0.357200474
3	0.964049588
4	0.01706208
5	0.371271033
6	0.71794871
7	0.509822718
8	0.982320202
9	0.767222657
10	0.834150832
11	0.923224503
12	0.663414559
13	0.731858734
14	0.910409115
15	0.998418979
16	0.838852819
17	0.108419421
18	0.29086529
19	0.218399771
20	0.706683661
21	0.686313611
22	0.971107266
23	0.36836839
24	0.139250433
25	0.857407324
26	0.118487864
27	0.157285329
28	0.510718702
29	0.142725279
30	0.61015845
31	0.384009163
32	0.359324895
33	0.466484782
34	0.152577634
35	0.568919014
36	0.632392062
37	0.80175411
38	0.347140942
39	0.894283425
40	0.25401107
41	0.75515935
42	0.678256263
43	0.810189209
44	0.276444006
45	0.124056876
46	0.715266504
47	0.916670244
48	0.024598423
49	0.316396602
50	0.122497049
51	0.375265511
52	0.219280788
53	0.049763037
54	0.211267868
55	0.055956748
56	0.078166119
57	0.01895656
58	0.170099527
59	0.777502559
60	0.782117968
61	0.356997832
62	0.283475836
63	0.225272794
64	0.146158347
65	0.932800314
66	0.021600075
67	0.308523669
68	0.910133357
69	0.783163446
70	0.802922873
71	0.665314726
72	0.821450447
73	0.770549
74	0.428995084
75	0.685065193
76	0.163230311
77	0.751110015
78	0.460581255
79	0.19670256
80	0.895170473
81	0.280225815
82	0.245295194
83	0.098555132
84	0.998540298
85	0.759716312
86	0.643030251
87	0.992662979
88	0.089091713
89	0.942175667
90	0.021769559
91	0.781750206
92	0.201177295
93	0.318183989
94	0.781431706
95	0.717765097
96	0.703559901
97	0.757659366
98	0.323160964
99	0.275608673
100	0.725700428
101	0.122162762
102	0.52895351
103	0.719685167
104	0.247949313
105	0.82739816
106	0.399600069
107	0.691833878
108	0.89050455
109	0.034987009
110	0.133021765
111	0.334577668
112	0.541530874
113	0.238158851
114	0.153079857
115	0.536392164
116	0.14215627
117	0.207475944
118	0.066498719
119	0.165973246
120	0.699126929
121	0.641979651
122	0.389798315
123	0.974906129
124	0.239559648
125	0.387883628
126	0.889451156
127	0.816676892
128	0.795937772
129	0.436113556
130	0.049359196
131	0.42334403
132	0.581551217
133	0.095722311
134	0.461408153
135	0.731303141
136	0.756656948
137	0.529602498
138	0.63977619
139	0.169008798
140	0.00330575
141	0.179901727
142	0.448619059
143	0.315467167
144	0.150385683
145	0.413477746
146	0.618123764
147	0.251315873
148	0.117863875
149	0.044087069
150	0.579198319
151	0.921730989
152	0.690109176
153	0.48483382
154	0.115248277
155	0.251426111
156	0.459578964
157	0.484513004
158	0.731925192
159	0.850037846
160	0.802341362
161	0.786619404
162	0.725031034
163	0.40760547
164	0.301506907
165	0.631670618
166	0.179186979
167	0.178040501
double ES(168,2) #Comments here	
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	1
10	-0.812979459
11	0.770879461
12	1
13	0.442099998
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	-1
24	1
25	-1
26	1
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	-0.352030878
41	-1
42	-1
43	0.047969122
44	1
45	1
46	0.4
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	-0.740553381
59	0.740553381
60	-1
61	1
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	-1
74	-1
75	0.4
76	0
77	0
78	0
79	0
80	1
81	1
82	0
83	0
84	0
85	1
86	0.756895264
87	0.643104736
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	-1
96	-1
97	0.4
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	1
109	1
110	0.4
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	-1
119	1
120	-1
121	1
122	-1
123	-1
124	0.4
125	0
126	1
127	-0.755043568
128	1
129	1
130	0.155043568
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	-0.361924802
150	0.361924802
151	-1
152	-1
153	0.728316641
154	-1
155	0.128316641
156	0
157	0.095819109
158	0.095819109
159	0
160	1
161	1
162	0.4
163	0
164	0
165	0
166	-1
167	-1
double IP(168,2) #Comments here	
0	0.131378255
1	0.824635445
2	0.398726312
3	1.076123814
4	0.019045608
5	0.414432623
6	0.801412825
7	0.56909144
8	1.096518453
9	0.856415046
10	0.931123861
11	1.030552667
12	0.740538883
13	0.81693994
14	1.016247444
15	1.11448877
16	0.936372471
17	0.121023568
18	0.324679424
19	0.243789529
20	0.788838174
21	0.766100032
22	1.084001972
23	0.411192538
24	0.155438796
25	0.957084003
26	0.132262503
27	0.175570313
28	0.570091585
29	0.159317605
30	0.68109156
31	0.428651607
32	0.401097704
33	0.520715312
34	0.170315332
35	0.635057892
36	0.70590991
37	0.894960904
38	0.387497322
39	0.998247084
40	0.283540769
41	0.842949335
42	0.757105989
43	0.904376613
44	0.308581614
45	0.138478933
46	0.798418803
47	1.023236451
48	0.027458078
49	0.353178843
50	0.136737771
51	0.418891474
52	0.244772966
53	0.055548169
54	0.235828517
55	0.062461921
56	0.087253211
57	0.021160329
58	0.189874208
59	0.867890023
60	0.87304199
61	0.398500112
62	0.31643092
63	0.251461565
64	0.163149779
65	1.0412417
66	0.024111162
67	0.344390653
68	1.015939627
69	0.874209009
70	0.896265539
71	0.742659952
72	0.916947011
73	0.860128088
74	0.478867303
75	0.764706481
76	0.18220642
77	0.838429251
78	0.51412548
79	0.219569939
80	0.999237255
81	0.312803072
82	0.273811641
83	0.11001252
84	1.114624193
85	0.848036061
86	0.717784826
87	1.108063614
88	0.099448944
89	1.051706971
90	0.024300348
91	0.872631474
92	0.224564877
93	0.355174021
94	0.872275948
95	0.801207867
96	0.785351266
97	0.845739987
98	0.360729587
99	0.307649171
100	0.810065708
101	0.136364622
102	0.590446254
103	0.803351152
104	0.276774311
105	0.923586167
106	0.446055012
107	0.772262051
108	0.994028901
109	0.039054375
110	0.148486023
111	0.373473523
112	0.604485782
113	0.265845673
114	0.17087594
115	0.598749679
116	0.158682447
117	0.231595767
118	0.074229434
119	0.185268232
120	0.780402944
121	0.71661209
122	0.435113768
123	1.088242466
124	0.267409317
125	0.432976493
126	0.992853046
127	0.911618513
128	0.888468395
129	0.486813323
130	0.055097379
131	0.472559294
132	0.649158634
133	0.106850373
134	0.515048507
135	0.816319757
136	0.844621035
137	0.59117069
138	0.714152469
139	0.188656678
140	0.003690055
141	0.200815948
142	0.500772636
143	0.352141358
144	0.167868559
145	0.461546019
146	0.689982871
147	0.280532246
148	0.131565973
149	0.049212349
150	0.646532204
151	1.028885525
152	0.770336846
153	0.541197493
154	0.128646303
155	0.280655299
156	0.513006668
157	0.54083938
158	0.817014124
159	0.948857798
160	0.895616426
161	0.878066734
162	0.809318495
163	0.454991069
164	0.336558168
165	0.705104595
166	0.200018108
167	0.198738348
