#1	
double BOP(168,2) #Comments here	
0	1.272798634
1	1.303957102
2	0.02014059
3	0.491853927
4	1.031257123
5	1.011513969
6	1.161376708
7	0.435221042
8	1.373902642
9	0.151063773
10	0.762750076
11	0.965295499
12	0.340042888
13	0.627018791
14	1.193960331
15	0.138451095
16	0.699979255
17	0.282232111
18	1.211633544
19	0.128881839
20	0.252519308
21	0.864862633
22	0.879638452
23	1.334042944
24	1.099753697
25	0.943171475
26	0.439073926
27	0.102984356
28	0.920380132
29	0.099017236
30	0.499964347
31	0.0580122
32	0.169547538
33	0.255934974
34	0.790006444
35	0.163996208
36	0.135447933
37	1.302069899
38	0.81456464
39	0.242197556
40	0.871399593
41	0.839807614
42	1.204623736
43	0.458444627
44	0.160729458
45	0.044894338
46	0.095536177
47	0.557376505
48	0.529835026
49	0.681865718
50	0.681144103
51	0.235471817
52	0.421786163
53	0.504269104
54	0.327342069
55	0.407642876
56	0.4873083
57	0.453687363
58	1.268130714
59	0.706467655
60	1.33959236
61	0.702108035
62	0.930781118
63	0.359241082
64	1.086774996
65	0.206063873
66	0.197568253
67	0.122657634
68	0.189688755
69	0.89254656
70	0.615346778
71	0.136558241
72	0.689251602
73	1.366096863
74	1.023722175
75	0.897027534
76	0.365536974
77	0.484657141
78	0.26121438
79	1.201967431
80	0.097674497
81	0.436236924
82	0.165601561
83	0.218638956
84	0.429496099
85	0.14886294
86	0.918281624
87	0.546958529
88	0.307145347
89	0.316468991
90	1.254438679
91	0.68613726
92	1.207951077
93	0.77102342
94	0.342319134
95	1.037135045
96	0.411420323
97	0.720025748
98	0.799962948
99	0.926714646
100	0.848477292
101	1.29367353
102	0.481526351
103	0.958842603
104	0.717927957
105	1.272171871
106	0.59217884
107	1.287012209
108	0.234467266
109	0.257823297
110	0.808443614
111	0.993303319
112	0.701218486
113	1.176351999
114	0.420652482
115	0.157728895
116	0.468206214
117	0.873876076
118	0.822298305
119	0.248989487
120	1.322044605
121	0.00958184
122	1.192817968
123	1.257291948
124	1.179475754
125	0.301443606
126	0.066471675
127	0.680887117
128	0.063739637
129	0.34778428
130	0.320053097
131	0.962144676
132	0.196028877
133	0.963049607
134	0.499818094
135	0.665141671
136	0.37428357
137	0.059897455
138	0.559600114
139	1.252309044
140	0.936008696
141	1.122658364
142	1.226707704
143	0.083204319
144	0.186684995
145	0.367207878
146	1.144975439
147	0.878512324
148	0.381852239
149	1.14210123
150	0.608565976
151	1.208618168
152	0.747228942
153	0.545976047
154	0.483686704
155	0.960226857
156	1.320082954
157	0.323367278
158	0.8453274
159	0.469546921
160	0.379553536
161	0.493120127
162	0.225459107
163	0.461753717
164	0.23791246
165	0.59201162
166	1.132909013
167	0.982943119
	
double NetDemand(168,2) #Comments here	
0	0.007825927
1	-0.036126205
2	-0.05605538
3	-0.015056971
4	0.006479499
5	-0.015488771
6	0.015753099
7	0.041275501
8	0.043249973
9	0.065200229
10	0.080586904
11	0.112439699
12	0.124111784
13	0.128531537
14	0.134746516
15	0.14044168
16	0.146073492
17	0.151685075
18	0.155355632
19	0.157894441
20	0.155647006
21	0.143477627
22	0.10597096
23	0.130268999
24	0.151396497
25	0.096117884
26	0.068192543
27	0.083928126
28	0.122763666
29	0.121397105
30	0.117142996
31	0.066200994
32	0.090539001
33	0.121972092
34	0.101955442
35	0.101325717
36	0.060196349
37	0.1466018
38	0.134333998
39	0.126412819
40	0.087756549
41	0.043921996
42	0.03857751
43	0.054135351
44	0.128185674
45	0.116687319
46	0.092309898
47	0.097250282
48	0.086586139
49	0.078492537
50	0.078429635
51	0.088505212
52	0.07342905
53	0.100646245
54	0.106196534
55	0.136809975
56	0.141358593
57	0.135374243
58	0.123860543
59	0.122557836
60	0.09978586
61	0.124272194
62	0.131853632
63	0.103369462
64	0.128612218
65	0.158898242
66	0.164737573
67	0.166057506
68	0.161853099
69	0.147373048
70	0.13412712
71	0.120994056
72	0.089122334
73	0.062917877
74	0.038700028
75	-0.022802838
76	0.002046402
77	-0.014750226
78	-0.01057144
79	-0.008005734
80	0.027169834
81	-0.009308196
82	-0.011017876
83	-0.010999467
84	0.053310114
85	0.0978985
86	0.10437615
87	0.133131588
88	0.135113742
89	0.132942026
90	0.136905554
91	0.141914892
92	0.130880425
93	0.089734276
94	0.084178949
95	0.074801896
96	0.031719804
97	0.02159629
98	0.037000528
99	0.056679954
100	0.024937161
101	0.004144282
102	0.012301683
103	0.020869502
104	0.024448908
105	0.018505803
106	0.02230816
107	0.028612423
108	0.07353077
109	0.071047736
110	0.116752764
111	0.148397362
112	0.173393937
113	0.166088078
114	0.16429878
