Time,Price
0,23.21
300,22.45
600,23.12
900,23.06
1200,22.88
1500,23.66
1800,24.36
2100,23.24
2400,23.22
2700,24
3000,25.42
3300,23.97
3600,22.46
3900,18.91
4200,22.29
4500,22.43
4800,22.17
5100,22.33
5400,22.79
5700,22.12
6000,22.67
6300,22.58
6600,22.44
6900,22.53
7200,22.75
7500,22.59
7800,22.07
8100,22.52
8400,22.53
8700,22.47
9000,22.41
9300,22.39
9600,22.23
9900,22.24
10200,22.41
10500,22.31
10800,22.23
11100,22.23
11400,22.24
11700,22.2
12000,22.22
12300,22.3
12600,22.05
12900,22.17
13200,22.12
13500,22.08
13800,22.13
14100,22.31
14400,22.15
14700,22.16
15000,22.4
15300,22.17
15600,22.27
15900,22.28
16200,22.22
16500,22.12
16800,22.14
17100,22.14
17400,22.22
17700,22.13
18000,22.05
18300,22.16
18600,22
18900,22.02
19200,22.09
19500,22.12
19800,22.08
20100,21.76
20400,22.14
20700,22
21000,22.08
21300,22.01
21600,22.04
21900,21.26
22200,21.85
22500,21.99
22800,22.04
23100,21.91
23400,21.79
23700,22.21
24000,22.24
24300,21.68
24600,21.99
24900,21.93
25200,21.86
25500,21.99
25800,22.38
26100,22.5
26400,22.19
26700,22.04
27000,22.07
27300,22.1
27600,22.19
27900,22.2
28200,22.26
28500,22.46
28800,22.41
29100,22.15
29400,22.16
29700,22.12
30000,22.09
30300,22.09
30600,22.1
30900,22.07
31200,21.97
31500,22.04
31800,22
32100,22.11
32400,22.16
32700,22.26
33000,24.59
33300,23.87
33600,23.35
33900,22.73
34200,22.88
34500,23.12
34800,23.14
35100,23.2
35400,23.23
35700,23.47
36000,23.87
36300,24.11
36600,24.12
36900,24.41
37200,32.22
37500,23.87
37800,32.76
38100,31.18
38400,32.79
38700,25.05
39000,55.08
39300,34.4
39600,29.48
39900,24.55
40200,25.27
40500,24.4
40800,23.81
41100,24.43
41400,24.37
41700,24.35
42000,24.53
42300,24.99
42600,25.13
42900,24.87
43200,24.74
43500,24.59
43800,24.44
44100,24.71
44400,25.13
44700,27.94
45000,23.31
45300,24.07
45600,23.93
45900,23.97
46200,23.87
46500,23.87
46800,23.73
47100,23.64
47400,23.85
47700,23.67
48000,23.55
48300,23.18
48600,23.06
48900,23.34
49200,23.21
49500,23.17
49800,23.11
50100,23.08
50400,23.19
50700,22.74
51000,22.88
51300,22.89
51600,22.95
51900,22.83
52200,22.68
52500,22.55
52800,22.64
53100,22.68
53400,22.78
53700,22.66
54000,22.67
54300,22.88
54600,23.01
54900,22.86
55200,22.73
55500,22.66
55800,22.59
56100,22.59
56400,22.63
56700,22.58
57000,22.58
57300,22.55
57600,22.64
57900,22.64
58200,22.65
58500,22.7
58800,22.79
59100,22.79
59400,22.81
59700,22.88
60000,22.89
60300,22.93
60600,22.79
60900,22.92
61200,20.61
61500,20.48
61800,21.05
62100,22.29
62400,22.47
62700,22.81
63000,24.84
63300,24.95
63600,26.75
63900,28.77
64200,32.4
64500,30.5
64800,31.96
65100,31.12
65400,35.86
65700,34.92
66000,28.62
66300,32.48
66600,26.85
66900,25.67
67200,26.75
67500,24.55
67800,25.19
68100,26.22
68400,26.58
68700,27.44
69000,27.6
69300,28.81
69600,27.81
69900,27.09
70200,27.62
70500,26.65
70800,24.91
71100,26.4
71400,26.51
71700,25.15
72000,28.42
72300,26.16
72600,25.82
72900,38.32
73200,29.9
73500,26.56
73800,32.64
74100,27.93
74400,25.05
74700,25.03
75000,25.27
75300,24.79
75600,24.64
75900,24.64
76200,24.45
76500,24.05
76800,25.38
77100,27.13
77400,24.51
77700,23.6
78000,22.89
78300,26.14
78600,24.51
78900,24.45
79200,25.58
79500,25.18
79800,25.24
80100,25.18
80400,25.19
80700,24.37
81000,23.68
81300,22.85
81600,22.7
81900,22.41
82200,22.4
82500,21.68
82800,21.57
83100,20.86
83400,21.3
83700,21.19
84000,21.9
84300,22.42
84600,21.63
84900,21.35
85200,21
85500,21.13
85800,21.12
86100,21.04
86400,20.85
86700,20.14
87000,20.77
87300,20.78
87600,21.02
87900,21.11
88200,21.63
88500,21.12
88800,23.59
89100,22.22
89400,21.51
89700,22.09
90000,21.84
90300,21.4
90600,21.12
90900,21.8
91200,21.77
91500,21.35
91800,22.02
92100,21.76
92400,21.29
92700,21.33
93000,21.62
93300,21.27
93600,21.44
93900,21.55
94200,21.5
94500,21.66
94800,21.8
95100,21.48
95400,21.43
95700,21.43
96000,21.8
96300,21.71
96600,21.42
96900,21.44
97200,21.53
97500,21.52
97800,21.5
98100,22
98400,21.81
98700,21.57
99000,21.62
99300,21.54
99600,21.53
99900,21.52
100200,21.61
100500,21.52
100800,21.62
101100,21.99
101400,21.64
101700,21.55
102000,21.51
102300,21.61
102600,21.58
102900,21.58
103200,21.54
103500,21.59
103800,21.68
104100,21.51
104400,21.55
104700,21.64
105000,21.93
105300,21.95
105600,22.01
105900,21.72
106200,21.8
106500,21.9
106800,21.96
107100,22.56
107400,22.65
107700,22.05
108000,21.62
108300,21.73
108600,22.1
108900,22.92
109200,22.72
109500,22.94
109800,22.86
110100,23.38
110400,23.25
110700,23.01
111000,22.94
111300,23.19
111600,20.48
111900,21.57
112200,22.28
112500,22.41
112800,22.83
113100,23.98
113400,24.3
113700,25.22
114000,25.8
114300,26.93
114600,26.14
114900,28.11
115200,28.34
115500,33.32
115800,28.07
116100,28.76
116400,28.41
116700,25.78
117000,25.8
117300,25.23
117600,24.78
117900,24.78
118200,25.21
118500,27.48
118800,26.76
119100,29.89
119400,31.06
119700,42.86
120000,52.42
120300,73.06
120600,46.52
120900,25.13
121200,24.9
121500,26.89
121800,25.45
122100,26.16
122400,25.7
122700,25.09
123000,27.76
123300,26.37
123600,26.79
123900,35
124200,38.58
124500,28.11
124800,29.21
125100,26.19
125400,27.07
125700,33.17
126000,44.64
126300,37.43
126600,58.28
126900,58.27
127200,72.68
127500,74.19
127800,32.91
128100,24.8
128400,29.08
128700,23.83
129000,25.03
129300,26.75
129600,26.3
129900,26.41
130200,27.11
130500,26.66
130800,26.96
131100,32.31
131400,28.32
131700,32.76
132000,32.91
132300,28.77
132600,27.61
132900,27.11
133200,26.63
133500,26.07
133800,27.6
134100,31.5
134400,27.35
134700,26.9
135000,26.42
135300,25.82
135600,26.6
135900,27.38
136200,25.44
136500,24.95
136800,26.17
137100,26.87
137400,25.12
137700,24.95
138000,25.45
138300,25.67
138600,25.26
138900,24.9
139200,24.62
139500,24.61
139800,24.93
140100,23.21
140400,22.9
140700,23.77
141000,23.78
141300,23.9
