Time,Price
0,-44.31
300,-124.95
600,-41.29
900,-40.13
1200,-38.4
1500,-7.41
1800,-0.81
2100,15.87
2400,14.4
2700,-0.28
3000,4.71
3300,8.63
3600,4.51
3900,4.55
4200,3.68
4500,-5.68
4800,5.51
5100,12.92
5400,3.75
5700,-0.11
6000,-9.94
6300,13.84
6600,-11.86
6900,-6.43
7200,4.45
7500,-3.31
7800,1.91
8100,16.75
8400,15.98
8700,15.58
9000,17.69
9300,10.44
9600,-1.09
9900,-4.38
10200,13.19
10500,9.08
10800,0.01
11100,-6.84
11400,-42.3
11700,-40.13
12000,13.21
12300,13.18
12600,3.26
12900,-39.21
13200,-28.02
13500,-41.66
13800,-24.11
14100,-40.11
14400,-33.17
14700,-17.05
15000,-7.21
15300,-10.22
15600,13.01
15900,5.96
16200,12.47
16500,-4.57
16800,-13.88
17100,-42.03
17400,-41.8
17700,-41.16
18000,-40.41
18300,-40.8
18600,-40.04
18900,-40.07
19200,-39.39
19500,-22.19
19800,-41.19
20100,-21.47
20400,-10.52
20700,-5.97
21000,-16.36
21300,16.47
21600,2.98
21900,-41.09
22200,-40.28
22500,-27.59
22800,-39.93
23100,8.81
23400,17.96
23700,-27.97
24000,18.53
24300,18.18
24600,19.15
24900,14.65
25200,24.43
25500,7.08
25800,-5.95
26100,27.42
26400,35.63
26700,29.99
27000,28.72
27300,21.17
27600,36.63
27900,-5.64
28200,-4.33
28500,11
28800,8.17
29100,13.69
29400,11.8
29700,14.64
30000,11.86
30300,13.4
30600,14.97
30900,13.48
31200,-1.45
31500,15.89
31800,20.47
32100,19.91
32400,14.65
32700,20.94
33000,20.77
33300,-2.72
33600,16.14
33900,20.71
34200,18.68
34500,18.75
34800,15.63
35100,19.11
35400,16.95
35700,19.16
36000,16.99
36300,18.22
36600,19.84
36900,16.59
37200,19.07
37500,19.23
37800,19.4
38100,18.99
38400,16.85
38700,17.32
39000,17.48
39300,18.39
39600,20.33
39900,17.1
40200,17.81
40500,15.8
40800,17.24
41100,18.13
41400,18.12
41700,18.04
42000,22.67
42300,22.02
42600,21.03
42900,21.04
43200,22.41
43500,18.84
43800,20.25
44100,19.64
44400,19.37
44700,19.39
45000,19.23
45300,19.55
45600,15.8
45900,20.73
46200,14.75
46500,25.46
46800,20.32
47100,25.71
47400,15.67
47700,21.87
48000,16.52
48300,19.12
48600,25.26
48900,17.28
49200,18.13
49500,20.36
49800,17.13
50100,20.78
50400,18.24
50700,20.58
51000,21.77
51300,20.07
51600,18.61
51900,15.27
52200,21.15
52500,19.16
52800,19.64
53100,9.45
53400,14.28
53700,16.21
54000,19.85
54300,14.52
54600,19.36
54900,14.5
55200,16.97
55500,19.9
55800,15.9
56100,14.53
56400,21.23
56700,22.99
57000,27.36
57300,24.65
57600,22.37
57900,39.53
58200,24.42
58500,24.07
58800,25.08
59100,23.13
59400,22.47
59700,19.51
60000,21.31
60300,19.78
60600,28.25
60900,25.17
61200,32.64
61500,22.81
61800,22.39
62100,25.14
62400,22.14
62700,22.89
63000,22.84
63300,23.26
63600,25.54
63900,23.43
64200,20.62
64500,21.95
64800,22.21
65100,24.07
65400,22.47
65700,20.77
66000,22.02
66300,21.09
66600,20.99
66900,21.25
67200,24.18
67500,22.03
67800,22.4
68100,21.55
68400,21.48
68700,21.89
69000,22.05
69300,22.1
69600,22.03
69900,22.18
70200,21.83
70500,21.78
70800,21.89
71100,22.2
71400,22.33
71700,22.85
72000,23.24
72300,22.76
72600,21.98
72900,22.29
73200,22.32
73500,22.74
73800,20.64
74100,21.71
74400,21.08
74700,21.94
75000,20.23
75300,20.61
75600,20.76
75900,20.99
76200,20.83
76500,20.36
76800,20.09
77100,19.71
77400,18.26
77700,19.75
78000,19.76
78300,20.33
78600,19.5
78900,19.97
79200,20.03
79500,20.04
79800,20.28
80100,16.15
80400,20.43
80700,20.14
81000,19.47
81300,23.77
81600,6.46
81900,8.36
82200,5.47
82500,16.38
82800,16.86
83100,11.17
83400,21.17
83700,20.71
84000,21.22
84300,20.83
84600,20.65
84900,20.95
85200,22.01
85500,29.3
85800,24.67
86100,23.48
86400,27.19
86700,25.2
87000,-4.64
87300,-11.2
87600,-5.35
87900,18.58
88200,20.59
88500,18.26
88800,18.36
89100,0
89400,0
89700,0
90000,8.05
90300,0
90600,0
90900,0
91200,-2.29
91500,19.35
91800,0
92100,17.56
92400,36.36
92700,24.85
93000,21.68
93300,25.69
93600,31.27
93900,23.02
94200,20.16
94500,-33.33
94800,23.09
95100,-12.49
95400,-38.32
95700,-39.97
96000,22.79
96300,-27.38
96600,11.75
96900,21.47
97200,36.7
97500,21.45
97800,21.31
98100,28.66
98400,22.21
98700,31.35
99000,26.13
99300,27.16
99600,30.59
99900,-32.2
100200,22.98
100500,23.4
100800,18.28
101100,23.23
101400,22.4
101700,29.89
102000,22.9
102300,31.4
102600,23.77
102900,32.82
103200,-27.26
103500,23.38
103800,-20.5
104100,20.82
104400,-27.6
104700,19.61
105000,22.38
105300,27.59
105600,24.5
105900,21.44
106200,22.52
106500,2.84
106800,-0.15
107100,-0.9
107400,0.79
107700,6.58
108000,17.77
108300,18
108600,20.52
108900,13.18
109200,14.85
109500,16.31
109800,23.16
110100,20.22
110400,18.81
110700,18.79
111000,17.74
111300,19.57
111600,22.07
111900,20.8
112200,21.49
112500,19.56
112800,19.94
113100,23.3
113400,21.35
113700,34.78
114000,24
114300,33.52
114600,22.87
114900,28.08
115200,22.33
115500,22.03
115800,21.19
116100,20.93
116400,19.24
116700,16.37
117000,19.68
117300,19.79
117600,20.12
117900,19.96
118200,19.78
118500,20.1
118800,22.46
119100,18.71
119400,22.51
119700,20.3
120000,22.67
120300,20.92
120600,22.09
120900,25.09
121200,21.83
121500,21.19
121800,22.25
122100,22.45
122400,21.31
122700,22.12
123000,26.5
123300,22.55
123600,21.94
123900,29.44
124200,21.83
124500,25.27
124800,22.62
125100,22.75
125400,24.85
125700,22.46
126000,22.74
126300,22.78
126600,22.1
126900,24.15
127200,22.28
127500,22.65
127800,21.95
128100,22.35
128400,22.37
128700,22.94
129000,23.49
129300,23.48
129600,22.68
129900,24.42
130200,23.38
130500,26.64
130800,22.12
131100,24.44
131400,24.17
131700,24.31
132000,23.59
132300,20.98
132600,22.98
132900,22.12
133200,23.02
133500,23.88
133800,22.89
134100,22.12
134400,22.86
134700,23.82
135000,22.93
135300,21.89
135600,23.38
135900,22.37
136200,23.98
136500,23.54
136800,21.29
137100,20.9
137400,23.38
137700,22.51
138000,24.14
138300,22.5
138600,22.3
138900,21.9
139200,22.18
139500,24.64
139800,22.85
140100,23.99
140400,22.76
140700,23.67
141000,23.07
141300,22.14
141600,22.61
141900,21.98
142200,22.45
142500,23.26
142800,23.13
143100,22.13
143400,24.09
143700,23.66
144000,23.14
144300,23.48
144600,23.02
144900,21.22
145200,22.21
145500,21.81
145800,21.2
146100,21.6
146400,19.39
146700,21.36
147000,22.28
147300,24.99
147600,23.09
147900,27.69
148200,29.66
148500,-77.56
148800,71.09
149100,2.59
149400,-72.15
149700,-57.51
150000,-3.16
150300,33.7
150600,30.06
150900,25.4
151200,27.66
151500,27.72
151800,25.99
152100,25.85
152400,27.82
152700,26.8
153000,25.83
153300,25.86
153600,185.74
153900,55.78
154200,30.28
154500,29.5
154800,29.02
155100,21.05
155400,24.58
155700,20.73
156000,19.94
156300,15.9
156600,18.23
156900,20.57
157200,17.4
157500,24.43
157800,26.05
158100,23.43
158400,26.14
158700,23.39
159000,26.07
159300,25.31
159600,25.2
159900,25.14
160200,25.17
160500,24.89
160800,24.72
161100,26.57
161400,22.89
161700,25.35
162000,25.55
162300,23.89
162600,25.21
162900,24.88
163200,24.76
163500,24.91
163800,23.33
164100,22.39
164400,22.59
164700,23.29
165000,24.67
165300,26.42
165600,24.73
165900,14.25
166200,22.22
166500,16.48
166800,19.71
167100,16.52
167400,18
167700,20.15
168000,21.19
168300,19.85
168600,20.85
168900,21.41
169200,21.8
169500,21.6
169800,24.8
170100,22.11
170400,21.83
170700,25.13
171000,23.14
171300,22.22
171600,23.54
171900,50.62
172200,23.2
172500,23.83
172800,35.21
173100,23.1
173400,22.99
173700,23.13
174000,22.17
174300,23.15
174600,24.79
174900,23.51
175200,23.92
175500,24.02
175800,30.14
176100,32.07
176400,39.65
176700,22.03
177000,23.39
177300,21.92
177600,21.87
177900,21.93
178200,21.84
178500,22.57
178800,21.8
179100,22.31
179400,21.72
179700,21.85
180000,21.92
180300,21.94
180600,22.01
180900,22.82
181200,23.52
181500,29.89
181800,23.19
182100,22.63
182400,22.56
182700,22.56
183000,21.96
183300,32.22
183600,37.08
183900,21.36
184200,23.02
184500,22.25
184800,22.54
185100,22.95
185400,22.77
185700,22.6
186000,21.64
186300,20.27
186600,21.35
186900,21.34
187200,21.6
187500,21.32
187800,20.77
188100,32.89
188400,26.83
188700,26.17
189000,36.58
189300,26.49
189600,25.65
189900,27.52
190200,26.88
190500,26.4
190800,23.59
191100,25.64
191400,26.47
191700,23.29
192000,26.48
192300,24.44
192600,23.1
192900,22.28
193200,21.47
193500,19.59
193800,22.29
194100,23.61
194400,20.75
194700,21.98
195000,29.08
195300,24.09
