Time,Speed
0.000000000000000000e+00,6.783333333333334103e+00
3.600000000000000000e+03,1.045333333333333314e+01
7.200000000000000000e+03,1.184666666666666579e+01
1.080000000000000000e+04,1.234333333333333371e+01
1.440000000000000000e+04,1.293500000000000050e+01
1.800000000000000000e+04,1.405666666666666664e+01
2.160000000000000000e+04,1.326333333333333009e+01
2.520000000000000000e+04,1.379166666666666607e+01
2.880000000000000000e+04,1.512166666666666437e+01
3.240000000000000000e+04,1.544666666666666544e+01
3.600000000000000000e+04,1.379499999999999993e+01
3.960000000000000000e+04,1.335499999999999865e+01
4.320000000000000000e+04,1.332166666666666544e+01
4.680000000000000000e+04,1.444166666666666821e+01
5.040000000000000000e+04,1.634500000000000242e+01
5.400000000000000000e+04,1.925000000000000000e+01
5.760000000000000000e+04,2.288500000000000156e+01
6.120000000000000000e+04,2.455166666666666586e+01
6.480000000000000000e+04,2.497666666666666302e+01
6.840000000000000000e+04,2.338500000000000156e+01
7.200000000000000000e+04,2.395833333333333215e+01
7.560000000000000000e+04,2.289499999999999957e+01
7.920000000000000000e+04,2.146500000000000341e+01
8.280000000000000000e+04,2.187500000000000000e+01
8.640000000000000000e+04,2.031833333333333158e+01
9.000000000000000000e+04,1.898166666666666558e+01
9.360000000000000000e+04,1.955499999999999616e+01
9.720000000000000000e+04,1.824333333333333584e+01
1.008000000000000000e+05,1.586666666666666714e+01
1.044000000000000000e+05,1.578999999999999915e+01
1.080000000000000000e+05,1.505833333333333535e+01
1.116000000000000000e+05,1.383333333333333393e+01
1.152000000000000000e+05,1.364000000000000057e+01
1.188000000000000000e+05,1.262833333333333563e+01
1.224000000000000000e+05,1.238666666666666849e+01
1.260000000000000000e+05,1.061333333333333329e+01
1.296000000000000000e+05,9.724999999999999645e+00
1.332000000000000000e+05,9.343333333333333712e+00
1.368000000000000000e+05,9.293333333333333002e+00
1.404000000000000000e+05,9.944999999999998508e+00
1.440000000000000000e+05,7.958333333333333037e+00
1.476000000000000000e+05,6.443333333333332469e+00
1.512000000000000000e+05,8.751666666666666927e+00
1.548000000000000000e+05,6.988333333333333286e+00
1.584000000000000000e+05,7.368333333333332291e+00
1.620000000000000000e+05,8.300000000000000711e+00
1.656000000000000000e+05,8.915000000000000924e+00
1.692000000000000000e+05,7.709999999999998188e+00
1.728000000000000000e+05,7.721666666666666679e+00
1.764000000000000000e+05,9.441666666666664653e+00
1.800000000000000000e+05,9.706666666666666998e+00
1.836000000000000000e+05,1.033000000000000007e+01
1.872000000000000000e+05,1.077499999999999858e+01
