Time,Speed
0.000000000000000000e+00,6.938333333333332575e+00
3.600000000000000000e+03,9.923333333333333783e+00
7.200000000000000000e+03,9.931666666666666643e+00
1.080000000000000000e+04,1.043500000000000050e+01
1.440000000000000000e+04,1.064000000000000057e+01
1.800000000000000000e+04,1.112833333333333208e+01
2.160000000000000000e+04,1.159999999999999964e+01
2.520000000000000000e+04,1.043666666666666742e+01
2.880000000000000000e+04,8.775000000000000355e+00
3.240000000000000000e+04,7.196666666666666323e+00
3.600000000000000000e+04,8.380000000000000782e+00
3.960000000000000000e+04,7.924999999999998046e+00
4.320000000000000000e+04,6.681666666666667531e+00
4.680000000000000000e+04,7.591666666666665897e+00
5.040000000000000000e+04,7.761666666666666714e+00
5.400000000000000000e+04,7.811666666666666536e+00
5.760000000000000000e+04,7.811666666666664760e+00
6.120000000000000000e+04,7.285000000000000142e+00
6.480000000000000000e+04,7.236666666666667247e+00
6.840000000000000000e+04,8.751666666666666927e+00
7.200000000000000000e+04,8.820000000000000284e+00
7.560000000000000000e+04,9.066666666666666430e+00
7.920000000000000000e+04,8.824999999999999289e+00
8.280000000000000000e+04,8.570000000000000284e+00
8.640000000000000000e+04,7.828333333333333144e+00
9.000000000000000000e+04,8.148333333333333428e+00
9.360000000000000000e+04,8.780000000000001137e+00
9.720000000000000000e+04,1.135499999999999865e+01
1.008000000000000000e+05,1.118500000000000050e+01
1.044000000000000000e+05,1.177333333333333343e+01
1.080000000000000000e+05,1.002999999999999936e+01
1.116000000000000000e+05,9.890000000000000568e+00
1.152000000000000000e+05,1.107833333333333314e+01
1.188000000000000000e+05,1.206500000000000306e+01
1.224000000000000000e+05,1.159166666666666679e+01
1.260000000000000000e+05,1.063166666666666593e+01
1.296000000000000000e+05,1.157166666666666544e+01
1.332000000000000000e+05,1.350499999999999723e+01
1.368000000000000000e+05,1.253999999999999915e+01
1.404000000000000000e+05,1.297333333333333449e+01
1.440000000000000000e+05,1.071166666666666600e+01
1.476000000000000000e+05,7.498333333333332185e+00
1.512000000000000000e+05,7.558333333333332682e+00
1.548000000000000000e+05,8.429999999999999716e+00
1.584000000000000000e+05,9.558333333333333570e+00
1.620000000000000000e+05,9.729999999999998650e+00
1.656000000000000000e+05,9.138333333333333641e+00
1.692000000000000000e+05,7.928333333333331900e+00
1.728000000000000000e+05,6.519999999999999574e+00
1.764000000000000000e+05,1.342666666666666409e+01
1.800000000000000000e+05,1.418166666666666664e+01
1.836000000000000000e+05,1.319833333333333236e+01
1.872000000000000000e+05,1.356666666666666465e+01
1.908000000000000000e+05,1.391000000000000192e+01
1.944000000000000000e+05,1.481833333333333513e+01
1.980000000000000000e+05,1.356166666666666742e+01
2.016000000000000000e+05,1.196666666666666679e+01
2.052000000000000000e+05,1.144666666666666721e+01
2.088000000000000000e+05,1.188499999999999979e+01
2.124000000000000000e+05,1.315833333333333321e+01
2.160000000000000000e+05,1.241166666666666707e+01
2.196000000000000000e+05,1.209166666666666679e+01
2.232000000000000000e+05,1.151499999999999879e+01
2.268000000000000000e+05,9.296666666666666856e+00
2.304000000000000000e+05,8.050000000000000711e+00
2.340000000000000000e+05,8.331666666666665222e+00
2.376000000000000000e+05,1.004999999999999893e+01
